GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gapa-cli,ch.bfh.ti.gapa.cli.config.reading.file,ConfigFileReaderImpl,127,0,4,0,34,0,14,0,12,0
gapa-cli,ch.bfh.ti.gapa.cli.config.model,ConfigField,9,48,0,0,0,8,2,3,2,3
gapa-cli,ch.bfh.ti.gapa.cli.config.model,CliInput,21,3,0,0,9,1,6,1,6,1
gapa-cli,ch.bfh.ti.gapa.cli.config.reading.commandline,CommandLineArgumentsReaderImpl,84,0,6,0,15,0,7,0,4,0
gapa-cli,ch.bfh.ti.gapa.cli.printer,CliPrintOptions,0,47,0,0,0,19,0,1,0,1
gapa-cli,ch.bfh.ti.gapa.cli.printer,GapaInfoPrinterImpl,30,63,6,2,0,11,4,3,0,3
gapa-cli,ch.bfh.ti.gapa.cli.printer,InfoPrinterImpl,0,168,0,0,0,32,0,7,0,7
gapa-cli,ch.bfh.ti.gapa.cli.config.reading.file.json.validation,JsonConfigValidatorImpl,53,0,0,0,14,0,3,0,3,0
gapa-cli,ch.bfh.ti.gapa.cli.exception,CommandLineException,0,15,0,0,0,6,0,3,0,3
gapa-cli,ch.bfh.ti.gapa.cli.exception,GapaCommandLineExceptionType,8,118,0,0,1,14,2,4,2,4
gapa-cli,ch.bfh.ti.gapa.cli.stdin,NonBlockingInputStreamImpl,0,52,0,2,0,20,0,5,0,4
gapa-cli,ch.bfh.ti.gapa.cli.log,SlimFormatter,67,0,2,0,21,0,3,0,2,0
gapa-cli,ch.bfh.ti.gapa.cli.config.reading.file.json,JsonReaderImpl,24,0,0,0,5,0,2,0,2,0
gapa-cli,ch.bfh.ti.gapa.cli.config,CliConfigOptions,0,64,0,0,0,23,0,1,0,1
gapa-cli,ch.bfh.ti.gapa.cli.config.parsing,CliInputParseException,25,0,0,0,5,0,2,0,2,0
gapa-cli,ch.bfh.ti.gapa.cli.config.parsing,CliInputParserImpl,30,0,0,0,9,0,3,0,3,0
gapa-cli,ch.bfh.ti.gapa.cli,CliImpl,98,287,9,11,8,85,7,18,2,13
gapa-cli,ch.bfh.ti.gapa.cli,CliImpl.new NonBlockingInputStreamHandler() {...},0,19,0,0,0,5,0,3,0,3
