GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gapa-process,ch.bfh.ti.gapa.process.interfaces,ProcessLayerImpl.new GapaWebSocketClientHandler() {...},74,0,8,0,10,0,7,0,3,0
gapa-process,ch.bfh.ti.gapa.process.interfaces,ProcessLayerImpl,149,0,4,0,33,0,10,0,8,0
gapa-process,ch.bfh.ti.gapa.process.interfaces,ProcessLayerInput,37,0,0,0,16,0,7,0,7,0
gapa-process,ch.bfh.ti.gapa.process.diagram,SequenceDiagramGenerator,52,85,2,6,11,23,4,7,3,4
gapa-process,ch.bfh.ti.gapa.process.diagram,SequenceDiagramMessage,28,24,0,0,5,10,1,7,1,7
gapa-process,ch.bfh.ti.gapa.process.reader,StreamRedirection,23,0,2,0,7,0,3,0,2,0
gapa-process,ch.bfh.ti.gapa.process.reader,StringFromInputStreamReader,3,31,0,2,1,7,1,2,1,1
gapa-process,ch.bfh.ti.gapa.process.filter,Subset,13,26,1,1,2,7,1,2,0,2
gapa-process,ch.bfh.ti.gapa.process.filter,AndFilter,3,53,0,4,2,16,0,5,0,3
gapa-process,ch.bfh.ti.gapa.process.filter,FilterConverter,3,114,4,16,1,15,5,12,1,3
gapa-process,ch.bfh.ti.gapa.process.filter,OrFilter,3,53,0,4,2,16,0,5,0,3
gapa-process,ch.bfh.ti.gapa.process.filter,GenericRegexFilter,6,64,1,3,4,18,1,4,0,3
gapa-process,ch.bfh.ti.gapa.process.filter,TimeFilter,13,61,0,2,7,17,0,4,0,3
gapa-process,ch.bfh.ti.gapa.process.recording,RecordParser,6,105,3,3,2,26,3,4,0,4
gapa-process,ch.bfh.ti.gapa.process.recording,InboundRequestPatternGroup,9,59,0,0,0,9,2,3,2,3
gapa-process,ch.bfh.ti.gapa.process.recording,ListenerHooks.ListenerHook,88,0,14,0,20,0,8,0,1,0
gapa-process,ch.bfh.ti.gapa.process.recording,OutboundRequestPatternGroup,68,0,0,0,9,0,5,0,5,0
gapa-process,ch.bfh.ti.gapa.process.recording,ListenerHooks,3,8,0,0,1,3,1,1,1,1
gapa-process,ch.bfh.ti.gapa.process.recording,GapaMessageRecorder,21,0,0,0,7,0,4,0,4,0
gapa-process,ch.bfh.ti.gapa.process.resources,ResourceReader,3,10,0,0,1,2,1,1,1,1
gapa-process,ch.bfh.ti.gapa.process,SynchronizedTask.new AsyncTaskHandler() {...},26,0,0,0,7,0,3,0,3,0
gapa-process,ch.bfh.ti.gapa.process,SynchronizedTask,89,0,2,0,28,0,8,0,7,0
